StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_4_TEXT,Q2,Q3,Q3_4_TEXT,Q4,QT1_First Click,QT1_Last Click,QT1_Page Submit,QT1_Click Count,QT1_First Click,QT1_Last Click,QT1_Page Submit,QT1_Click Count,Q7,Q8,Q9_1,Q10_1,Q11_1,QT2_First Click,QT2_Last Click,QT2_Page Submit,QT2_Click Count,Group,mTurkCode
12/2/2018 18:53,12/2/2018 18:54,IP Address,71.167.168.128,100,32,TRUE,12/2/2018 18:54,R_1EYbdwIshQPJBZj,,,,,40.70359802,-73.89610291,anonymous,EN,Female,,"NY, USA",Democratic,,18-24,,,,,0,0,1.678,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,3,2,2,2.497,7.325,8.117,6,Treatment,46120
12/2/2018 18:53,12/2/2018 18:54,IP Address,96.19.230.179,100,69,TRUE,12/2/2018 18:54,R_2saPpbg3VqxrfpA,,,,,36.72990417,-97.04540253,anonymous,EN,Female,,usa ok,Republican,,49-59,,,,,2.506,9.667,10.903,3,Tuberculosis is no longer a health issue.,Yes,5,5,5,6.435,20.082,21.443,8,Treatment,51653
12/2/2018 18:53,12/2/2018 18:55,IP Address,24.23.115.160,100,68,TRUE,12/2/2018 18:55,R_SC3cxu1soSOMktH,,,,,40.44059753,-79.99590302,anonymous,EN,Male,,Pennsylvania United States,Democratic,,36-48,0.981,27.006,28.137,10,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,4,2.631,12.358,12.845,19,Control,99409
12/2/2018 18:54,12/2/2018 18:55,IP Address,73.123.49.97,100,64,TRUE,12/2/2018 18:55,R_1rBualUGc6qVBdP,,,,,42.52740479,-71.75630188,anonymous,EN,Male,,United States Massachusetts,Democratic,,36-48,,,,,0,0,17.24,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,2,1,4.447,20.38,21.615,6,Treatment,84360
12/2/2018 18:53,12/2/2018 18:55,IP Address,68.9.60.23,100,114,TRUE,12/2/2018 18:55,R_3nc6kGaS4kI97YU,,,,,41.70129395,-72.67630005,anonymous,EN,Male,,"USA, Connecticut",Independent,,26-35,,,,,0,0,2.656,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,5,4,9.066,17.379,20.396,5,Treatment,60488
12/2/2018 18:55,12/2/2018 18:55,IP Address,96.236.117.160,100,31,TRUE,12/2/2018 18:55,R_yju8X2KMZnaPsiJ,,,,,42.17640686,-72.57610321,anonymous,EN,Male,,Ma usa,Democratic,,26-35,0.447,0.447,1.698,1,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,3,4,3,3.29,6.939,7.864,12,Control,63300
12/2/2018 18:53,12/2/2018 18:55,IP Address,65.34.112.177,100,121,TRUE,12/2/2018 18:55,R_3JJDP2Xuz6sndsX,,,,,30.61430359,-87.32510376,anonymous,EN,Female,,usa florida,Republican,,36-48,36.062,38.435,39.403,2,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,3,5,8.344,35.836,44.35,8,Control,36397
12/2/2018 18:53,12/2/2018 18:56,IP Address,131.191.84.22,100,171,TRUE,12/2/2018 18:56,R_1eFeXCSPflH6dJ5,,,,,47.24839783,-122.4642944,anonymous,EN,Male,,"USA, WA",Republican,,49-59,,,,,4.848,26.135,27.946,3,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,2,9.105,101.335,108.022,6,Treatment,46998
12/2/2018 18:54,12/2/2018 18:56,IP Address,97.94.173.218,100,136,TRUE,12/2/2018 18:56,R_24dcSZbR9gyZv4S,,,,,33.82409668,-118.1102982,anonymous,EN,Female,,usa ca,Independent,,36-48,6.462,43.02,44.31,3,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,3,4.869,36.384,37.2,8,Control,73359
12/2/2018 18:53,12/2/2018 18:56,IP Address,120.29.117.238,100,141,TRUE,12/2/2018 18:56,R_3MKyjcTvPjvFCz8,,,,,14.6210022,121.0458984,anonymous,EN,Male,,"USA, California",Independent,,18-24,0,0,34.213,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,3,4,25.441,25.441,72.377,1,Control,75879
12/2/2018 18:53,12/2/2018 18:56,IP Address,172.58.232.175,100,158,TRUE,12/2/2018 18:56,R_2zegFY5aOkcFMdz,,,,,40.73699951,-74.1964035,anonymous,EN,Male,,usa new jersey,Independent,,36-48,,,,,0,0,75.603,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,3,5,12.505,21.883,22.733,5,Treatment,19835
12/2/2018 18:55,12/2/2018 18:56,IP Address,104.10.82.85,100,52,TRUE,12/2/2018 18:56,R_ZafSNHWE83OpCV3,,,,,30.58349609,-97.85749817,anonymous,EN,Male,,"Texas, USA",Democratic,,18-24,,,,,15.556,15.985,16.756,2,Tuberculosis can be treated with diet of gummy bears and diet soda,Yes,4,3,4,0.787,4.897,5.229,13,Treatment,54655
12/2/2018 18:55,12/2/2018 18:56,IP Address,23.112.114.15,100,99,TRUE,12/2/2018 18:56,R_1qerCvXIeavwsDc,,,,,28.56970215,-80.81909943,anonymous,EN,Male,,"United States, Florida",Republican,,26-35,,,,,0,0,18.57,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,34.806,53.236,54.975,7,Treatment,15842
12/2/2018 18:53,12/2/2018 18:56,IP Address,73.119.239.216,100,207,TRUE,12/2/2018 18:56,R_d6J6uer73QJ8JdT,,,,,43.0072937,-71.44819641,anonymous,EN,Female,,"NH, USA",Democratic,,26-35,0,0,169.74,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,3.57,21.898,22.536,6,Control,11747
12/2/2018 18:55,12/2/2018 18:57,IP Address,172.101.75.133,100,109,TRUE,12/2/2018 18:57,R_ZLgMVcNtRDMPMCB,,,,,42.92550659,-78.74810028,anonymous,EN,Male,,Ny usa,Democratic,,36-48,5.082,68.985,69.754,18,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,5,5,3.203,14.034,14.539,16,Control,68292
12/2/2018 18:54,12/2/2018 18:57,IP Address,120.29.117.238,100,169,TRUE,12/2/2018 18:57,R_2BkUmMC3gsLG6yy,,,,,14.6210022,121.0458984,anonymous,EN,Male,,"United States, CA",Republican,,26-35,12.804,56.821,94.1,28,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,2,4,39.323,52.348,53.428,8,Control,48669
12/2/2018 18:55,12/2/2018 18:57,IP Address,107.2.152.39,100,128,TRUE,12/2/2018 18:57,R_PFllsZX7bkiPCXT,,,,,39.74909973,-104.9945984,anonymous,EN,Female,,USA- CO,Democratic,,26-35,61.443,61.443,62.476,1,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,3,2,3.583,30.716,31.665,12,Control,44837
12/2/2018 18:53,12/2/2018 18:57,IP Address,73.221.181.78,100,236,TRUE,12/2/2018 18:57,R_QaiJEd8lu7bZzVv,,,,,47.64880371,-122.3964005,anonymous,EN,Male,,Washington USA,Democratic,,59 or older,,,,,0,0,174.64,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,4,1,5.342,29.619,30.79,5,Treatment,71229
12/2/2018 18:56,12/2/2018 18:57,IP Address,173.19.29.178,100,62,TRUE,12/2/2018 18:57,R_2ZDM5uWNAL0zRGa,,,,,41.46670532,-86.48310089,anonymous,EN,Female,,"Indiana, USA",Republican,,26-35,5.038,15.526,17.847,5,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,1,2,4.233,23.106,23.853,5,Control,14347
12/2/2018 18:55,12/2/2018 18:58,IP Address,99.101.203.105,100,136,TRUE,12/2/2018 18:58,R_afPHJ61kXeaRatX,,,,,30.17160034,-95.49849701,anonymous,EN,Female,,USA TX,Democratic,,36-48,63.909,63.909,64.761,1,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,2,1,8.111,32.743,33.286,10,Control,87424
12/2/2018 18:54,12/2/2018 18:58,IP Address,24.193.236.235,100,247,TRUE,12/2/2018 18:58,R_3MRMFRaqJS7GWe9,,,,,40.70289612,-73.81109619,anonymous,EN,Male,,New York (USA),Independent,,26-35,0,0,185.481,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,4,14.282,24.001,24.562,5,Control,61917
12/2/2018 18:53,12/2/2018 18:58,IP Address,198.254.87.130,100,274,TRUE,12/2/2018 18:58,R_QglatVIorfGlnG1,,,,,35.25270081,-85.16300201,anonymous,EN,Male,,US Tennessee,Independent,,36-48,7.103,167.493,200.589,11,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,6.209,35.062,36.073,12,Control,16419
12/2/2018 18:54,12/2/2018 18:58,IP Address,67.86.183.146,100,209,TRUE,12/2/2018 18:58,R_2YKvgilQQd6B3Tw,,,,,40.20959473,-74.0714035,anonymous,EN,Male,,"NJ, United States",Independent,,26-35,0,0,142.878,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,3,4.103,23.255,24.535,5,Control,48853
12/2/2018 18:56,12/2/2018 18:58,IP Address,173.90.152.231,100,108,TRUE,12/2/2018 18:58,R_ukQtOSqn058D30J,,,,,41.19099426,-80.9701004,anonymous,EN,Female,,"Ohio, USA",Democratic,,26-35,1.188,45.905,51.195,11,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,3,3,1.153,21.706,23.93,27,Control,12840
12/2/2018 18:54,12/2/2018 18:58,IP Address,208.189.216.246,100,225,TRUE,12/2/2018 18:58,R_3FIPHAbOlTiZqGI,,,,,30.08399963,-81.86450195,anonymous,EN,Male,,United States Florida,Republican,,36-48,,,,,0,0,162.941,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,4,5,11.354,30.89,31.799,5,Treatment,88304
12/2/2018 18:56,12/2/2018 18:58,IP Address,73.254.231.187,100,153,TRUE,12/2/2018 18:58,R_1mkp6r5buWV067c,,,,,47.75419617,-122.2474976,anonymous,EN,Female,,United States Washington,Democratic,,36-48,3.574,84.771,85.597,17,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,4,2.875,16.484,17.107,18,Control,94041
12/2/2018 18:54,12/2/2018 18:59,IP Address,65.30.215.35,100,313,TRUE,12/2/2018 18:59,R_3EQpKKji1xJhMb2,,,,,42.98219299,-88.09459686,anonymous,EN,Female,,"United States, Wisconsin",Independent,,18-24,,,,,9.793,244.595,264.118,9,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,5,4,2.926,16.331,16.939,11,Treatment,66082
12/2/2018 18:54,12/2/2018 18:59,IP Address,108.5.148.222,100,304,TRUE,12/2/2018 18:59,R_yjXvOLylDzPt64F,,,,,40.79460144,-74.1631012,anonymous,EN,Male,,USA,Democratic,,59 or older,,,,,10.565,235.254,235.988,6,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,5,17.872,40.639,42.233,6,Treatment,84176
12/2/2018 18:54,12/2/2018 18:59,IP Address,157.51.134.227,100,314,TRUE,12/2/2018 18:59,R_3FXLk7gvoMJBDXF,,,,,13.08329773,80.28329468,anonymous,EN,Male,,us,Democratic,,26-35,0,0,173.304,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,2,4,64.841,83.406,84.814,7,Control,35059
12/2/2018 18:53,12/2/2018 18:59,IP Address,66.243.214.101,100,352,TRUE,12/2/2018 18:59,R_1Yw7WTFYtIJQBwt,,,,,46.92059326,-122.5879974,anonymous,EN,Female,,USA  Washington,Republican,,59 or older,0,0,262.951,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,4,7.802,50.166,52.485,5,Control,56946
12/2/2018 18:55,12/2/2018 18:59,IP Address,71.211.28.112,100,257,TRUE,12/2/2018 18:59,R_2YRlK9Pfyh4C0Nm,,,,,39.6618042,-106.9671021,anonymous,EN,Female,,"United States, Colorado",Democratic,,59 or older,,,,,76.919,83.303,198.886,2,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,4,10.945,28.946,30.505,5,Treatment,71213
12/2/2018 18:57,12/2/2018 18:59,IP Address,138.219.175.56,100,134,TRUE,12/2/2018 18:59,R_2YtdXQCfhiokzpb,,,,,15,-86.5,anonymous,EN,Male,,us,Republican,,26-35,0,0,77.245,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,3,4,6.599,16.729,18.171,5,Control,20513
12/2/2018 18:57,12/2/2018 18:59,IP Address,63.233.193.200,100,104,TRUE,12/2/2018 18:59,R_0DOqMdVREMoftTj,,,,,41.53849792,-90.56130219,anonymous,EN,Female,,United States,Independent,,26-35,0,0,72.2,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,3,2.735,12.767,13.374,6,Control,85891
12/2/2018 18:53,12/2/2018 18:59,IP Address,104.13.213.16,100,357,TRUE,12/2/2018 18:59,R_1rfzrLwVOWm9Cxr,,,,,38.9420929,-122.7776947,anonymous,EN,Male,,"California, United States",Democratic,,59 or older,,,,,0,0,257.151,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,4,2,6.262,43.313,46.345,5,Treatment,50984
12/2/2018 18:56,12/2/2018 19:00,IP Address,120.29.117.238,100,210,TRUE,12/2/2018 19:00,R_2TL6EuCI8zFPT9p,,,,,14.61839294,121.0350952,anonymous,EN,Male,,"U.S.A., NYC",Democratic,,26-35,,,,,0,0,162.727,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,1,4,0.912,11.147,12.061,5,Treatment,69468
12/2/2018 18:56,12/2/2018 19:00,IP Address,120.29.117.238,100,215,TRUE,12/2/2018 19:00,R_32XWaNcyUHnHNBE,,,,,14.6210022,121.0458984,anonymous,EN,Male,,"USA, Washington State",Democratic,,26-35,59.454,174.976,175.226,2,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,3,3,3.137,16.191,17.032,6,Control,50908
12/2/2018 18:57,12/2/2018 19:00,IP Address,47.222.113.75,100,186,TRUE,12/2/2018 19:00,R_uwt25liuU7Q0onf,,,,,32.74909973,-96.45980072,anonymous,EN,Female,,Texas United States,Independent,,18-24,0,0,140.339,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,2,3.02,16.674,17.297,5,Control,93128
12/2/2018 18:55,12/2/2018 19:00,IP Address,49.207.184.148,100,299,TRUE,12/2/2018 19:00,R_3nc3fbvJ16kXcgq,,,,,13.08329773,80.28329468,anonymous,EN,Male,,USA ,Republican,,18-24,,,,,0,0,2.999,0,Tuberculosis can be treated with diet of gummy bears and diet soda,Yes,4,3,4,2.731,27.492,27.997,11,Treatment,68230
12/2/2018 18:59,12/2/2018 19:00,IP Address,47.196.125.166,100,52,TRUE,12/2/2018 19:00,R_33d990XJmVmvvjQ,,,,,27.90559387,-82.2881012,anonymous,EN,Male,,Floridq,Independent,,26-35,,,,,0.603,10.634,11.442,4,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,4,4,0.307,17.684,18,24,Treatment,97018
12/2/2018 18:56,12/2/2018 19:00,IP Address,198.255.170.116,100,253,TRUE,12/2/2018 19:00,R_PLsF3Qw5i1m4a8F,,,,,43.9743042,-75.91220093,anonymous,EN,Female,,"USA, New York",Independent,,18-24,,,,,10.412,171.187,172.852,10,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,4,25.473,50.364,50.877,9,Treatment,91763
12/2/2018 18:55,12/2/2018 19:00,IP Address,66.128.161.89,100,302,TRUE,12/2/2018 19:00,R_vCYd2Ny3wLN9VS1,,,,,43.70939636,-98.02980042,anonymous,EN,Female,,"United States, South Dakota",Democratic,,36-48,0,0,180.583,0,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,4,5.284,22.804,24.08,6,Control,88067
12/2/2018 18:55,12/2/2018 19:00,IP Address,108.88.175.151,100,275,TRUE,12/2/2018 19:00,R_XFCjvWwJ98njONz,,,,,42.53399658,-83.52850342,anonymous,EN,Male,,"United States, Michigan",Independent,,49-59,4.626,216.228,216.888,11,,,,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,4,3,5.004,23.389,24.284,8,Control,47158
12/2/2018 18:56,12/2/2018 19:00,IP Address,70.161.95.15,100,244,TRUE,12/2/2018 19:00,R_WAGzZGMhNHJAy3f,,,,,36.73519897,-76.23840332,anonymous,EN,Male,,"USA, Virginia",Republican,,59 or older,,,,,0,0,150.149,0,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,3,3,7.564,32.522,34.2,5,Treatment,78227
12/2/2018 18:58,12/2/2018 19:00,IP Address,49.207.184.148,100,115,TRUE,12/2/2018 19:00,R_25LQ1dObC9vpVT1,,,,,13.08329773,80.28329468,anonymous,EN,Male,,USA,Independent,,26-35,0,0,2.425,0,,,,,Tuberculosis can be treated with diet of gummy bears and diet soda,Yes,4,5,4,11.025,15.618,16.579,5,Control,53200
