HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,304SM51WA340Q2SYWG6SPYGR0LZBSZ,A1KS9OHP5553CF,Approved,Sun Dec 02 17:53:26 PST 2018,Sun Dec 02 17:55:21 PST 2018,Mon Dec 03 17:55:21 PST 2018,2018-12-04 01:56:13 UTC,,,115,100% (1/1),100% (1/1),100% (1/1),99409,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,30BXRYBRP4X3OWCTGDQP8YMA1BAWHP,A21ZVZXOBDB9AV,Approved,Sun Dec 02 18:31:52 PST 2018,Sun Dec 02 18:36:53 PST 2018,Mon Dec 03 18:36:53 PST 2018,2018-12-04 02:37:13 UTC,,,301,100% (1/1),100% (1/1),100% (1/1),88056,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,30LSNF239UVH8BP68BJ3K370XHU2I6,A1RD0EUJJDNJZ7,Approved,Sun Dec 02 18:29:36 PST 2018,Sun Dec 02 18:34:53 PST 2018,Mon Dec 03 18:34:53 PST 2018,2018-12-04 02:35:13 UTC,,,317,100% (1/1),100% (1/1),100% (1/1),14367,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,30OG32W0SUB1HSCDYBRWRCC6GJBNE6,A32BQZSU4K9AVL,Approved,Sun Dec 02 18:19:19 PST 2018,Sun Dec 02 18:24:35 PST 2018,Mon Dec 03 18:24:35 PST 2018,2018-12-04 02:25:13 UTC,,,316,100% (1/1),100% (1/1),100% (1/1),84100,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,30ZX6P7VF8VD3M9CQT43W4M0AWGJ2W,A3I742U8CHU2O6,Approved,Sun Dec 02 18:20:26 PST 2018,Sun Dec 02 18:21:59 PST 2018,Mon Dec 03 18:21:59 PST 2018,2018-12-04 02:22:14 UTC,,,93,100% (1/1),100% (1/1),100% (1/1),89983,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,3137ONMDKG5V70VRB7E11S39F7NGEP,A1767F572WVYDI,Approved,Sun Dec 02 18:13:51 PST 2018,Sun Dec 02 18:16:27 PST 2018,Mon Dec 03 18:16:27 PST 2018,2018-12-04 02:17:13 UTC,,,156,100% (1/1),100% (1/1),100% (1/1),93986,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,317HQ483I7SDXXEZUUHNCRAY8CENIB,A1KRMY3L3ABGJQ,Approved,Sun Dec 02 18:06:58 PST 2018,Sun Dec 02 18:08:47 PST 2018,Mon Dec 03 18:08:47 PST 2018,2018-12-04 02:09:14 UTC,,,109,100% (1/1),100% (1/1),100% (1/1),91870,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,31LM9EDVOLS9S8Y5CC2NOSPYLR0JNG,A38RJ04DGHZ2QT,Approved,Sun Dec 02 17:54:11 PST 2018,Sun Dec 02 18:02:51 PST 2018,Mon Dec 03 18:02:51 PST 2018,2018-12-04 02:03:14 UTC,,,520,100% (1/1),100% (1/1),100% (1/1),35320,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,31LM9EDVOLS9S8Y5CC2NOSPYLR2JNI,A1LCMAFV1KS6SQ,Approved,Sun Dec 02 18:01:06 PST 2018,Sun Dec 02 18:06:22 PST 2018,Mon Dec 03 18:06:22 PST 2018,2018-12-04 02:07:13 UTC,,,316,100% (1/1),100% (1/1),100% (1/1),76438,,
3FI30CQHVKJSGKW7Z1YN09PC3N9B68,36872VQHZ42V7MBLIPXPIFK08KK9MC,Answer Survey About An Article,Give us your opinion about an article,"survey, demographics, article",$0.40 ,Sun Dec 02 17:52:43 PST 2018,200,BatchId:3457539;OriginalHitTemplateId:920937340;,1500,86400,Sun Dec 02 19:16:04 PST 2018,,,31N2WW6R9RQMJ2JZB3RN0GZ0N3U3FJ,AT0COJ1G23ZB0,Approved,Sun Dec 02 17:59:49 PST 2018,Sun Dec 02 18:03:27 PST 2018,Mon Dec 03 18:03:27 PST 2018,2018-12-04 02:04:13 UTC,,,218,100% (1/1),100% (1/1),100% (1/1),94677,,
